# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 14 21:31:11 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_rade < 1)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_rade,sy_dist
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,12.100,93.1846000
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,12.300,125.3210000
3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,12.900,75.4392000
4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,12.600,17.9323000
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,13.500,21.1397000
6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,12.900,124.9530000
7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,12.500,76.2220000
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,18.647,139.1350000
9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,13.900,95.9863000
10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,13.400,72.0691000
11,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,13.900,72.0691000
12,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,13.000,128.4840000
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,12.300,47.2000000
